# accession	TC1	TC2	genesymbol	length	familytype	product_name	product_name_orig
TIGR03784	158.25	158.25	NULL	174	equivalog	class GN sortase	sortase, marine proteobacterial type
TIGR03785	612.2	612.2	pdsS	703	equivalog	proteobacterial dedicated sortase system histidine kinase	proteobacterial dedicated sortase system histidine kinase
TIGR03787	335.7	335.7	pdsR	227	equivalog	proteobacterial dedicated sortase system response regulator	proteobacterial dedicated sortase system response regulator
TIGR03788	551.65	551.65	NULL	629	equivalog	marine proteobacterial sortase target protein	marine proteobacterial sortase target protein
TIGR03789	152.2	152.2	pdsO	243	hypoth_equivalog	sortase-associated OmpA-like protein PdsO	proteobacterial sortase system peptidoglycan-associated protein
TIGR03790	67	67	NULL	316	subfamily	TIGR03790 family protein	TIGR03790 family protein
TIGR03791	443.85	443.85	mauG	291	equivalog	tryptophan tryptophylquinone biosynthesis enzyme MauG	tryptophan tryptophylquinone biosynthesis enzyme MauG
TIGR03792	45.75	45.75	NULL	90	hypoth_equivalog	TIGR03792 family protein	uncharacterized cyanobacterial protein, TIGR03792 family
TIGR03793	50.9	50.9	NULL	77	domain	NHLP leader peptide family natural product precursor	NHLP leader peptide domain
TIGR03794	156.2	156.2	NULL	421	equivalog	NHLP bacteriocin system secretion protein	NHLM bacteriocin system secretion protein
TIGR03796	853.3	853.3	NULL	710	equivalog	NHLP family bacteriocin export ABC transporter peptidase/permease/ATPase subunit	NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein
TIGR03797	709.4	709.4	NULL	686	equivalog	NHLP bacteriocin export ABC transporter permease/ATPase subunit	NHLM bacteriocin system ABC transporter, ATP-binding protein
TIGR03798	32.3	32.3	NULL	68	subfamily	Nif11-like leader peptide family natural product precursor	nif11-like leader peptide domain
TIGR03799	606.1	606.1	panP	522	equivalog	putative pyridoxal-dependent aspartate 1-decarboxylase	putative pyridoxal-dependent aspartate 1-decarboxylase
TIGR03800	105.55	105.55	pdxT	184	equivalog	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2
TIGR03801	435.1	435.1	aspD	521	equivalog	aspartate 4-decarboxylase	aspartate 4-decarboxylase
TIGR03802	546.95	546.95	aspT	562	equivalog	aspartate-alanine antiporter	aspartate-alanine antiporter
TIGR03808	120	120	NULL	455	equivalog	TIGR03808 family TAT-translocated repetitive protein	twin-arg-translocated uncharacterized repeat protein
TIGR03809	50.15	50.15	NULL	172	hypoth_equivalog	TIGR03809 family protein	TIGR03809 family protein
TIGR03810	591	591	arcD	468	equivalog	arginine-ornithine antiporter	arginine-ornithine antiporter
TIGR03811	905.3	905.3	tdc	608	equivalog	tyrosine decarboxylase	tyrosine decarboxylase
TIGR03812	299.4	299.4	mfnA	375	equivalog	tyrosine decarboxylase MfnA	tyrosine decarboxylase MnfA
TIGR03814	255.4	255.4	glsA	300	equivalog	glutaminase A	glutaminase A
TIGR03818	303.8	303.8	motA	282	equivalog	flagellar motor stator protein MotA	flagellar motor stator protein MotA
TIGR03819	373.15	373.15	NULL	340	hypoth_equivalog	TadA family conjugal transfer-associated ATPase	helicase/secretion neighborhood ATPase
TIGR03820	525.4	525.4	ablA	417	equivalog	lysine 2,3-aminomutase	lysine-2,3-aminomutase
TIGR03821	369.3	369.3	epmB	321	equivalog	EF-P beta-lysylation protein EpmB	EF-P beta-lysylation protein EpmB
TIGR03822	396.25	396.25	NULL	321	hypoth_equivalog	lysine-2,3-aminomutase-like protein	lysine-2,3-aminomutase-related protein
TIGR03823	159.3	159.3	fliZ	168	equivalog	flagellar regulatory protein FliZ	flagellar regulatory protein FliZ
TIGR03824	40.75	40.75	flgM	98	equivalog	flagellar biosynthesis anti-sigma factor FlgM	flagellar biosynthesis anti-sigma factor FlgM
TIGR03825	148.9	148.9	fliH	255	equivalog	flagellar assembly protein FliH	flagellar assembly protein FliH
TIGR03827	205.1	205.1	ablB	266	equivalog	putative beta-lysine N-acetyltransferase	putative beta-lysine N-acetyltransferase
TIGR03828	292	292	pfkB	305	equivalog	1-phosphofructokinase	1-phosphofructokinase
TIGR03829	90.85	90.85	NULL	89	hypoth_equivalog	YokU family protein	uncharacterized protein, YokU family
TIGR03831	20.2	20.2	NULL	46	domain	YgiT-type zinc finger protein	YgiT-type zinc finger domain
TIGR03832	501	501	cmdF	507	equivalog	tyrosine 2,3-aminomutase	tyrosine 2,3-aminomutase
TIGR03833	63.4	63.4	NULL	62	hypoth_equivalog	YwbE family protein	conserved hypothetical protein
TIGR03834	34.1	34.1	NULL	28	domain	EAGR box-containing protein	EAGR box
TIGR03835	512.25	512.25	topJ	871	equivalog	terminal organelle assembly protein TopJ	terminal organelle assembly protein TopJ
TIGR03837	347.05	347.05	earP	371	equivalog	elongation factor P maturation arginine rhamnosyltransferase EarP	conserved hypothetical protein, PP_1857 family
TIGR03838	276.7	276.7	gluQ	272	equivalog	tRNA glutamyl-Q(34) synthetase GluQRS	glutamyl-queuosine tRNA(Asp) synthetase
TIGR03839	625.6	625.6	mgpA	1425	equivalog	adhesin P1	adhesin P1
TIGR03840	223.2	223.2	tmpT	213	equivalog	thiopurine S-methyltransferase	thiopurine S-methyltransferase, Se/Te detoxification family
TIGR03841	213.65	213.65	NULL	298	subfamily	LLM class F420-dependent oxidoreductase	probable F420-dependent oxidoreductase, Rv3093c family
TIGR03842	295.45	295.45	NULL	329	hypoth_equivalog	TIGR03842 family LLM class F420-dependent oxidoreductase	F420-dependent oxidoreductase, CPS_4043 family
TIGR03843	172.4	172.4	NULL	253	hypoth_equivalog	SCO1664 family protein	conserved hypothetical protein
TIGR03844	324.9	324.9	NULL	398	equivalog	cysteate synthase	cysteate synthase
TIGR03845	147.95	147.95	comD	160	equivalog_domain	sulfopyruvate decarboxylase subunit alpha	sulfopyruvate decarboxylase, alpha subunit
TIGR03846	221.5	221.5	comE	182	equivalog	sulfopyruvate decarboxylase subunit beta	sulfopyruvate decarboxylase, beta subunit
TIGR03848	203.85	203.85	NULL	204	subfamily	MSMEG_4193 family putative phosphomutase	probable phosphomutase, MSMEG_4193 family
TIGR03849	331.9	331.9	comA	237	equivalog	phosphosulfolactate synthase	phosphosulfolactate synthase
TIGR03850	299	299	NULL	437	equivalog	carbohydrate ABC transporter substrate-binding protein	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family
TIGR03851	399.65	399.65	ngcE	450	equivalog	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein
TIGR03852	334.4	334.4	gtfA	470	equivalog	sucrose phosphorylase	sucrose phosphorylase
TIGR03854	295.6	295.6	NULL	290	hypoth_equivalog	TIGR03854 family LLM class F420-dependent oxidoreductase	probable F420-dependent oxidoreductase, MSMEG_3544 family
TIGR03855	206.55	206.55	nadX	229	equivalog	aspartate dehydrogenase	aspartate dehydrogenase
TIGR03856	243.7	243.7	NULL	249	subfamily	LLM class F420-dependent oxidoreductase	probable F420-dependent oxidoreductase, MSMEG_2906 family
TIGR03857	218.4	218.4	NULL	329	hypoth_equivalog	TIGR03857 family LLM class F420-dependent oxidoreductase	probable F420-dependent oxidoreductase, MSMEG_2249 family
TIGR03859	46	46	pqqD	81	equivalog	pyrroloquinoline quinone biosynthesis peptide chaperone PqqD	coenzyme PQQ biosynthesis protein PqqD
TIGR03862	242.65	242.65	NULL	376	subfamily	TIGR03862 family flavoprotein	flavoprotein, TIGR03862 family
TIGR03867	19.7	19.7	mprA	27	equivalog_domain	MprA protease, GlyGly-CTERM protein-sorting domain-containing form	MprA protease C-terminal rhombosortase-interaction domain
TIGR03868	392.4	392.4	NULL	287	hypoth_equivalog	putative F420-0 ABC transporter substrate-binding protein	proposed F420-0 ABC transporter, periplasmic F420-0 binding protein
TIGR03870	258.1	258.1	moxJ	246	equivalog	methanol oxidation system protein MoxJ	methanol oxidation system protein MoxJ
TIGR03871	212.15	212.15	NULL	232	subfamily	quinoprotein dehydrogenase-associated putative ABC transporter substrate-binding protein	quinoprotein dehydrogenase-associated probable ABC transporter substrate-binding protein
TIGR03872	147.8	147.8	moxG	133	equivalog	cytochrome c(L), periplasmic	cytochrome c(L), periplasmic
TIGR03874	161.75	161.75	NULL	143	equivalog	c-type cytochrome, methanol metabolism-related	c-type cytochrome, methanol metabolism-related
TIGR03875	95.3	95.3	NULL	206	hypoth_equivalog	RNA ligase partner protein	RNA ligase partner, MJ_0950 family
TIGR03876	222.5	222.5	csaX	281	equivalog	type I-A CRISPR-associated protein CsaX	CRISPR type I-A/APERN-associated protein CsaX
TIGR03877	307.25	307.25	NULL	238	hypoth_equivalog	KaiC domain-containing protein	KaiC domain protein, Ph0284 family
TIGR03878	232.2	232.2	NULL	259	hypoth_equivalog	KaiC domain-containing protein	KaiC domain protein, AF_0795 family
TIGR03880	249.45	249.45	NULL	224	hypoth_equivalog	KaiC domain-containing protein	KaiC domain protein, AF_0351 family
TIGR03881	247.8	247.8	NULL	231	hypoth_equivalog	KaiC domain-containing protein	KaiC domain protein, PAE1156 family
TIGR03884	44.65	44.65	NULL	74	equivalog	selenium-binding protein	selenium-binding protein
TIGR03886	437.55	437.55	NULL	346	equivalog	spore photoproduct lyase family protein	spore photoproduct lyase family protein
TIGR03887	291.45	291.45	scnC	200	equivalog	thiocyanate hydrolase subunit gamma	thiocyanate hydrolase, gamma subunit
TIGR03888	152.2	152.2	nthB	226	equivalog	nitrile hydratase subunit beta	nitrile hydratase, beta subunit
TIGR03889	46	46	NULL	74	equivalog	nitrile hydratase accessory protein	nitrile hydratase accessory protein
TIGR03890	159.45	159.45	NULL	171	hypoth_equivalog	Nif11 domain/cupin domain-containing protein	nif11 domain/cupin domain protein
TIGR03892	25	25	NULL	44	subfamily	thiazolylpeptide-type bacteriocin	thiazolylpeptide-type bacteriocin precursor
TIGR03893	32.95	32.95	NULL	61	subfamily	type 2 lantibiotic	type 2 lantibiotic, SP_1948 family
TIGR03894	67.75	67.75	NULL	95	hypoth_equivalog	TIGR03894 family protein	conserved hypothetical protein, TIGR03894 family
TIGR03895	421.05	421.05	NULL	606	subfamily_domain	PatA/PatG family cyanobactin maturation protease	cyanobactin maturation protease, PatA/PatG family
TIGR03897	304	304	lanM	932	subfamily	type 2 lantipeptide synthetase LanM	type 2 lantibiotic biosynthesis protein LanM
TIGR03898	23.5	23.5	NULL	44	subfamily	mersacidin/lichenicidin family type 2 lantibiotic	type 2 lantibiotic, mersacidin/lichenicidin family
TIGR03899	155.65	155.65	NULL	250	hypoth_equivalog	TIGR03899 family protein	TIGR03899 family protein
TIGR03901	25.5	25.5	NULL	33	domain	MYXO-CTERM sorting domain-containing protein	MYXO-CTERM domain
TIGR03902	84	84	rrtA	154	equivalog	rhombosortase	rhombosortase
TIGR03903	705.75	705.75	NULL	1267	equivalog	TOMM system kinase/cyclase fusion protein	TOMM system kinase/cyclase fusion protein
TIGR03904	462.35	462.35	NULL	558	equivalog	YgiQ family radical SAM protein	uncharacterized radical SAM protein YgiQ
TIGR03905	67.7	67.7	NULL	78	hypoth_equivalog	TIGR03905 family TSCPD domain-containing protein	uncharacterized protein TIGR03905
TIGR03906	453	453	peaB	467	equivalog	quinohemoprotein amine dehydrogenase maturation protein	quinohemoprotein amine dehydrogenase maturation protein
TIGR03907	223.2	223.2	peaD	338	equivalog	quinohemoprotein amine dehydrogenase subunit beta	quinohemoprotein amine dehydrogenase, beta subunit
TIGR03908	274.35	274.35	peaA	510	equivalog	quinohemoprotein amine dehydrogenase subunit alpha	quinohemoprotein amine dehydrogenase, alpha subunit
TIGR03909	248.3	248.3	pylC	374	equivalog	3-methylornithine--L-lysine ligase PylC	pyrrolysine biosynthesis protein PylC
TIGR03910	348.2	348.2	pylB	347	equivalog	methylornithine synthase PylB	pyrrolysine biosynthesis radical SAM protein
TIGR03911	150.05	150.05	pylD	266	equivalog	3-methylornithyl-N6-L-lysine dehydrogenase PylD	pyrrolysine biosynthesis protein PylD
TIGR03913	591.75	591.75	NULL	477	equivalog	GDL motif peptide-associated radical SAM/SPASM maturase	Y_X(10)_GDL-associated radical SAM protein
TIGR03916	343.5	343.5	NULL	415	hypoth_equivalog_domain	putative DNA modification/repair radical SAM protein	putative DNA modification/repair radical SAM protein
TIGR03918	325.55	325.55	hydF	392	equivalog	[FeFe] hydrogenase H-cluster maturation GTPase HydF	[FeFe] hydrogenase H-cluster maturation GTPase HydF
TIGR03919	154	154	eccB	457	equivalog	type VII secretion protein EccB	type VII secretion protein EccB
TIGR03920	94.95	94.95	eccD	455	equivalog	type VII secretion integral membrane protein EccD	type VII secretion integral membrane protein EccD
TIGR03921	278.75	278.75	mycP	353	equivalog	type VII secretion-associated serine protease mycosin	type VII secretion-associated serine protease mycosin
TIGR03922	466.65	466.65	eccA	557	equivalog	type VII secretion AAA-ATPase EccA	type VII secretion AAA-ATPase EccA
TIGR03923	108	108	eccE	344	equivalog_domain	type VII secretion protein EccE	type VII secretion protein EccE
TIGR03924	509.15	509.15	eccCa	673	equivalog_domain	type VII secretion protein EccCa	type VII secretion protein EccCa
TIGR03925	346.55	346.55	eccCb	564	equivalog_domain	type VII secretion protein EccCb	type VII secretion protein EccCb
TIGR03926	229.75	229.75	essB	377	equivalog	type VII secretion protein EssB	type VII secretion protein EssB
TIGR03927	32.45	32.45	essA	151	equivalog	type VII secretion protein EssA	type VII secretion protein EssA
TIGR03928	778.4	778.4	essC	1296	equivalog	type VII secretion protein EssC	type VII secretion protein EssC
TIGR03929	122	122	esaA	193	equivalog_domain	type VII secretion protein EsaA	type VII secretion protein EsaA
TIGR03930	44.85	44.85	NULL	90	subfamily	WXG100 family type VII secretion target	WXG100 family type VII secretion target
TIGR03931	47.6	47.6	NULL	194	hypoth_equivalog_domain	type VII secretion-associated protein	type VII secretion-associated protein, Rv3446c family
TIGR03932	69.05	69.05	icaD	88	equivalog	intracellular adhesion protein D	intracellular adhesion protein D
TIGR03933	248.35	248.35	icaB	245	equivalog	intercellular adhesin biosynthesis polysaccharide N-deacetylase	intercellular adhesin biosynthesis polysaccharide N-deacetylase
TIGR03934	30.4	30.4	NULL	42	domain	TQXA domain-containing protein	TQXA domain
TIGR03935	190.7	190.7	bft	386	equivalog	fragilysin family metalloproteinase	fragilysin
TIGR03937	422.3	422.3	pgaC	407	equivalog	poly-beta-1,6 N-acetyl-D-glucosamine synthase	poly-beta-1,6 N-acetyl-D-glucosamine synthase
TIGR03938	321.9	321.9	pgaB	618	equivalog	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB
TIGR03939	366.65	366.65	pgaA	800	equivalog	poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA	poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA
TIGR03940	31.45	31.45	pgaD	141	equivalog	poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD	poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD
TIGR03942	349.45	349.45	NULL	363	equivalog	anaerobic sulfatase maturase	anaerobic sulfatase maturase
TIGR03943	88.8	88.8	NULL	221	hypoth_equivalog	TIGR03943 family protein	TIGR03943 family protein
TIGR03944	326.9	326.9	sbnB	327	equivalog	2,3-diaminopropionate biosynthesis protein SbnB	2,3-diaminopropionate biosynthesis protein SbnB
TIGR03945	349.95	349.95	sbnA	304	equivalog	2,3-diaminopropionate biosynthesis protein SbnA	2,3-diaminopropionate biosynthesis protein SbnA
TIGR03946	418.6	418.6	vioC	333	equivalog	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent
TIGR03947	390.9	390.9	vioD	359	equivalog	capreomycidine synthase	capreomycidine synthase
TIGR03948	674.8	674.8	NULL	445	equivalog	butyryl-CoA:acetate CoA-transferase	butyryl-CoA:acetate CoA-transferase
TIGR03949	21.5	21.5	NULL	45	subfamily	class IIb bacteriocin, lactobin A/cerein 7B family	class IIb bacteriocin, lactobin A/cerein 7B family
TIGR03950	137.9	137.9	NULL	223	hypoth_equivalog	siderophore ferric iron reductase	siderophore ferric iron reductase, AHA_1954 family
TIGR03951	63.85	63.85	fhuF	182	equivalog	siderophore-iron reductase FhuF	siderophore-iron reductase FhuF
TIGR03952	208.1	208.1	NULL	351	equivalog	zinc-dependent metalloproteinase lipoprotein	zinc-dependent metalloproteinase lipoprotein, BF0631 family
TIGR03953	130.1	130.1	rplD	188	equivalog	50S ribosomal protein L4	50S ribosomal protein uL4
TIGR03955	312.15	312.15	hydG	470	equivalog	[FeFe] hydrogenase H-cluster radical SAM maturase HydG	[FeFe] hydrogenase H-cluster radical SAM maturase HydG
TIGR03956	254.6	254.6	hydE	340	equivalog	[FeFe] hydrogenase H-cluster radical SAM maturase HydE	[FeFe] hydrogenase H-cluster radical SAM maturase HydE
TIGR03957	320.9	320.9	hmdB	317	equivalog	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdB	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdB
TIGR03958	407	407	hmdC	505	equivalog	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdC	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdC
TIGR03960	462.3	462.3	NULL	605	hypoth_equivalog_domain	TIGR03960 family B12-binding radical SAM protein	radical SAM family uncharacterized protein
TIGR03961	306.05	306.05	NULL	332	hypoth_equivalog	PTO1314 family radical SAM protein	archaeal radical SAM protein, PTO1314 family
TIGR03962	265	265	mftC	339	equivalog	mycofactocin radical SAM maturase	mycofactocin radical SAM maturase
TIGR03963	260.1	260.1	queE	219	equivalog	putative 7-carboxy-7-deazaguanine synthase QueE	putative 7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE
TIGR03964	172	172	mftE	228	equivalog	mycofactocin biosynthesis peptidyl-dipeptidase MftE	mycofactocin system creatininase family protein
TIGR03965	280	280	mftF	467	equivalog	mycofactocin system glycosyltransferase	mycofactocin system glycosyltransferase
TIGR03966	470.85	470.85	mftD	385	hypoth_equivalog	mycofactocin system-associated heme/flavin dehydrogenase	heme/flavin dehydrogenase, mycofactocin system
TIGR03967	38	38	mftB	81	equivalog	mycofactocin biosynthesis chaperone MftB	putative mycofactocin binding protein MftB
TIGR03968	224.9	224.9	mftR	190	equivalog	mycofactocin system transcriptional regulator	mycofactocin system transcriptional regulator
TIGR03969	25	25	mftA	23	equivalog	mycofactocin precursor	mycofactocin precursor
TIGR03970	387.45	387.45	mftG	487	equivalog	mycofactocin system GMC family oxidoreductase MftG	dehydrogenase, Rv0697 family
TIGR03971	300	300	NULL	271	subfamily	SDR family mycofactocin-dependent oxidoreductase	SDR family mycofactocin-dependent oxidoreductase
TIGR03972	317.95	317.95	twy1	297	equivalog	4-demethylwyosine synthase TYW1	wyosine biosynthesis protein TYW1
TIGR03973	50	50	scfA	43	equivalog	six-cysteine peptide SCIFF	six-cysteine peptide SCIFF
TIGR03974	425	425	scfB	451	equivalog	thioether cross-link-forming SCIFF peptide maturase	SCIFF radical SAM maturase
TIGR03975	281.85	281.85	NULL	606	subfamily	RiPP maturation radical SAM protein 1	ribosomal peptide maturation radical SAM protein 1
TIGR03976	50	50	hxsD	90	equivalog	His-Xaa-Ser system protein HxsD	His-Xaa-Ser system protein HxsD
TIGR03977	267.9	267.9	hxsC	292	equivalog	His-Xaa-Ser system radical SAM maturase HxsC	His-Xaa-Ser system radical SAM maturase HxsC
TIGR03978	370	370	hxsB	466	equivalog	His-Xaa-Ser system radical SAM maturase HxsB	His-Xaa-Ser system radical SAM maturase HxsB
TIGR03979	121.65	121.65	hxsA	190	equivalog	His-Xaa-Ser repeat protein HxsA	His-Xaa-Ser repeat protein HxsA
TIGR03982	90	90	NULL	117	hypoth_equivalog	TIGR03982 family His-Xaa-Ser system protein	His-Xaa-Ser system protein, TIGR03982 family
TIGR03983	358.05	358.05	cas1	347	equivalog_domain	type I-MYXAN CRISPR-associated endonuclease Cas1	CRISPR-associated endonuclease Cas1, subtype MYXAN
TIGR03984	81.25	81.25	NULL	152	hypoth_equivalog	TIGR03984 family CRISPR-associated protein	CRISPR-associated protein, TIGR03984 family
TIGR03985	60	60	NULL	249	hypoth_equivalog	TIGR03985 family CRISPR-associated protein	CRISPR-associated protein, TIGR03985 family
TIGR03986	161.35	161.35	NULL	568	hypoth_equivalog	TIGR03986 family CRISPR-associated RAMP protein	CRISPR-associated protein
TIGR03987	78.2	78.2	NULL	120	hypoth_equivalog	TIGR03987 family protein	TIGR03987 family protein
TIGR03988	62.5	62.5	rsrA	77	equivalog	mycothiol system anti-sigma-R factor	mycothiol system anti-sigma-R factor
TIGR03989	440	440	NULL	370	subfamily	NDMA-dependent alcohol dehydrogenase	NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family
TIGR03990	439	439	glmM	444	equivalog	phosphoglucosamine mutase	phosphoglucosamine mutase
TIGR03994	321.4	321.4	hemZ	401	equivalog	coproporphyrinogen dehydrogenase HemZ	coproporphyrinogen dehydrogenase HemZ
TIGR03995	87.6	87.6	NULL	84	equivalog	CGCGG family rSAM-modified RiPP protein	putative rSAM target protein, CGCGG family
TIGR03996	627.9	627.9	NULL	633	hypoth_equivalog	mycofactocin system FadH/OYE family oxidoreductase 1	mycofactocin system FadH/OYE family oxidoreductase 1
TIGR03997	793.15	793.15	NULL	645	equivalog	mycofactocin system FadH/OYE family oxidoreductase 2	mycofactocin system FadH/OYE family oxidoreductase 2
TIGR03998	265.8	265.8	bshC	529	equivalog	bacillithiol biosynthesis cysteine-adding enzyme BshC	bacillithiol biosynthesis cysteine-adding enzyme BshC
TIGR03999	273.7	273.7	bshA	375	equivalog	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA
TIGR04000	195.25	195.25	bshB2	217	equivalog	bacillithiol biosynthesis deacetylase BshB2	bacillithiol biosynthesis deacetylase BshB2
TIGR04001	182.5	182.5	bshB1	226	equivalog	bacillithiol biosynthesis deacetylase BshB1	bacillithiol biosynthesis deacetylase BshB1
TIGR04002	120	120	NULL	151	hypoth_equivalog	TIGR04002 family protein	TIGR04002 family protein
TIGR04003	496.45	496.45	bssD	314	equivalog	[benzylsuccinate synthase]-activating enzyme	[benzylsuccinate synthase]-activating enzyme
TIGR04004	794.6	794.6	wcaM	464	equivalog	colanic acid biosynthesis protein WcaM	colanic acid biosynthesis protein WcaM
TIGR04005	537.6	537.6	wcaL	406	equivalog	colanic acid biosynthesis glycosyltransferase WcaL	colanic acid biosynthesis glycosyltransferase WcaL
TIGR04006	727.1	727.1	wcaK	426	equivalog	colanic acid biosynthesis pyruvyl transferase WcaK	colanic acid biosynthesis pyruvyl transferase WcaK
TIGR04007	800.45	800.45	wcaI	407	equivalog	colanic acid biosynthesis glycosyltransferase WcaI	colanic acid biosynthesis glycosyltransferase WcaI
TIGR04008	326.3	326.3	wcaF	180	equivalog	colanic acid biosynthesis acetyltransferase WcaF	colanic acid biosynthesis acetyltransferase WcaF
TIGR04009	369.2	369.2	wcaE	248	equivalog	colanic acid biosynthesis glycosyltransferase WcaE	colanic acid biosynthesis glycosyltransferase WcaE
TIGR04010	589.65	589.65	wcaD	404	equivalog	putative colanic acid polymerase WcaD	putative colanic acid polymerase WcaD
TIGR04011	96.45	96.45	pgsC	132	equivalog	poly-gamma-glutamate biosynthesis protein PgsC	poly-gamma-glutamate biosynthesis protein PgsC
TIGR04012	222.7	222.7	pgsB	380	equivalog	poly-gamma-glutamate synthase PgsB	poly-gamma-glutamate synthase PgsB
TIGR04013	251	251	NULL	382	hypoth_equivalog	TIGR04013 family B12-binding domain/radical SAM domain-containing protein	B12-binding domain/radical SAM domain protein, MJ_1487 family
TIGR04014	360	360	NULL	434	hypoth_equivalog	TIGR04014 family B12-binding domain/radical SAM domain-containing protein	B12-binding domain/radical SAM domain protein, MJ_0865 family
TIGR04015	784.85	784.85	wcaC	405	equivalog	colanic acid biosynthesis glycosyltransferase WcaC	colanic acid biosynthesis glycosyltransferase WcaC
TIGR04016	194.65	194.65	wcaB	146	equivalog	colanic acid biosynthesis acetyltransferase WcaB	colanic acid biosynthesis acetyltransferase WcaB
TIGR04017	495.75	495.75	wcaA	279	equivalog	colanic acid biosynthesis glycosyltransferase WcaA	colanic acid biosynthesis glycosyltransferase WcaA
TIGR04018	339.9	339.9	ypdA	316	hypoth_equivalog	YpdA family putative bacillithiol disulfide reductase	putative bacillithiol system oxidoreductase, YpdA family
TIGR04019	77.25	77.25	ytxJ	105	hypoth_equivalog	bacillithiol system redox-active protein YtxJ	bacillithiol system protein YtxJ
TIGR04021	382.95	382.95	sfnG	350	equivalog	dimethyl sulfone monooxygenase SfnG	dimethyl sulfone monooxygenase SfnG
TIGR04022	430.9	430.9	NULL	391	equivalog	SfnB family sulfur acquisition oxidoreductase	sulfur acquisition oxidoreductase, SfnB family
TIGR04023	85.6	85.6	NULL	115	subfamily	PPOX class F420-dependent oxidoreductase	PPOX class F420-dependent enzyme, MSMEG_5819/OxyR family
TIGR04024	345.4	345.4	NULL	330	hypoth_equivalog	TIGR04024 family LLM class F420-dependent oxidoreductase	coenzyme F420-dependent oxidoreductase, NP1902A family
TIGR04027	412.9	412.9	NULL	326	hypoth_equivalog	putative FMN-dependent luciferase-like monooxygenase	putative FMN-dependent luciferase-like monooxygenase, KPN_01858 family
TIGR04028	468.5	468.5	NULL	509	hypoth_equivalog	TIGR04028 family ABC transporter substrate-binding protein	ABC transporter substrate binding protein, KPN_01854 family
TIGR04029	100.75	100.75	NULL	174	hypoth_equivalog_domain	CMD domain protein	CMD domain protein, Avi_7170 family
TIGR04030	233.15	233.15	NULL	185	hypoth_equivalog_domain	alkylhydroperoxidase domain protein	alkylhydroperoxidase domain protein, Avi_7169 family
TIGR04031	57.2	57.2	NULL	71	subfamily	rSAM-partnered protein	rSAM-partnered protein, Htur_1727 family
TIGR04032	99.2	99.2	NULL	172	subfamily	sporulation delaying protein family toxin	antimicrobial peptide, SdpC family
TIGR04034	53.1	53.1	NULL	157	subfamily	SdpA family antimicrobial peptide system protein	antimicrobial peptide system protein, SdpA family
TIGR04039	362.85	362.85	NULL	336	hypoth_equivalog	di-heme enzyme	di-heme enzyme, MXAN_0977 family
TIGR04040	498.3	498.3	yjjI	497	hypoth_equivalog	YjjI family glycine radical enzyme	glycine radical enzyme, YjjI family
TIGR04041	250.2	250.2	yjjW	276	hypoth_equivalog	YjjW family glycine radical enzyme activase	glycine radical enzyme activase, YjjW family
TIGR04042	79.85	79.85	NULL	90	hypoth_equivalog	MSMEG_0570 family nitrogen starvation response protein	MSMEG_0570 family protein
TIGR04043	303.7	303.7	NULL	354	hypoth_equivalog	MSMEG_0568 family radical SAM protein	radical SAM protein, MSMEG_0568 family
TIGR04044	109.85	109.85	NULL	159	hypoth_equivalog	MSMEG_0572 family nitrogen starvation response protein	MSMEG_0572 family protein
TIGR04046	498.35	498.35	NULL	400	hypoth_equivalog	MSMEG_0569 family flavin-dependent oxidoreductase	flavin-dependent oxidoreductase, MSMEG_0569 family
TIGR04047	259.85	259.85	NULL	373	hypoth_equivalog	MSMEG_0565 family glycosyltransferase	glycosyltransferase, MSMEG_0565 family
TIGR04048	502.6	502.6	NULL	301	equivalog_domain	Nit6803 family nitriliase	putative nitrilase, sll0784 family
TIGR04049	321.3	321.3	NULL	318	hypoth_equivalog	sll0787 family AIR synthase-like protein	AIR synthase-related protein, sll0787 family
TIGR04051	515.45	515.45	nirJ	354	equivalog	heme d1 biosynthesis radical SAM protein NirJ	heme d1 biosynthesis radical SAM protein NirJ
